Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
0,,,,,,,0
0,,,,,,,0
,,,,,,,
,,,,,,,
"June-16

AM (Snatch + Mixed Midline)
3 Rounds
-8 Hip 90-90's
-8 Hip Extensions from Saddle
-8 Push-Up to Down-Dog
...
3 Rounds
-8 Squatting Sky Reach; kettlebell anchored
-5 Wall-Facing Squat Therapy; 4s lower
-8 Wtd PVC Passthrough 2.5-5lb
-5 Pressing Snatch Balance
+
A. 3 Position Power Snatch + 3 Pausing OHS (4 Sets) 115lb
*work on moving feet wider into receiving position
*sink as low as you can in each OHS
B. 3 Position Squat Snatch (5-6 Sets)
*start at 135 and build to RPE 7-8/10
C. 8 Sets: (rest 60s b/t)
-20ft HSW
-4 OHS 135lb
-18 Heavy DU
D. 2 x 10:00 BFR Ski @ 60% LOP
*rest 5:00 b/t sets deflated
*zone 2 target HR
E. 10:00 Self-Directed Hip & Shoulder Mobility

PM (Run + Hanging Gymnastics)
5:00 Walk
*every 55s (+0:00): breath exhale hold until untolerable
5min Choice Dynamic Run Warm-Up
5min - Prep Gymnastics
+
Accumulate 20 RMU for Quality
+
30:00 Run @ Zone 3 Feel
*you can give me HR after the fact but don't look at it during the run
*start at 3 step inhale, 3 step exhale and increase to 4:4 or even 5:5 as able
*let me know how it goes
+
Hip Flexor Mobility Checklist
Foam Roller Routine","June-17

AM (Mixed Aerobic ft. Rate)
Move Through @ Cruise Pace
5:00 Ski
5:00 BikeErg
5:00 Row
+
2 Sets: (rest 5:00 b/t)
-60 Calorie Row
-20 Wall Balls
-15 TTB
-10 Clean 155lb
-5 BMU
*set 1 = 70-80%
*set 2 = 80-90%
+
Move Through @ Cruise Pace
5:00 Row
5:00 BikeErg
5:00 Ski

PM (Hinging & Odd Object)
A. 3 Rounds
-12 Step-Up
-10 Banded Good AM
-6 Straight Leg Dead Bugs
-4 Strict Pull-Ups
+
B. Deadlift (6 x 3) 365lb
*odd sets: tng
*even sets: hand-release
*rest 60s b/t
+
C1. Elevated Cat PNF (3 x 15s)
C2. Dual DB OH Carry (3 x 15s) 50-60's
+
D. 4 Rounds
-5 Front Squat 225lb - no rack
-10 Dual KB STO 53's
-2:00 Echo @ Cruise Pace
*strong pace through the WL work, max recoverable pace on the bike
+
D. Band Pull Apart (3 x 10) 3s return
E. Hip Flexor Mobility Checklist
F. Foam Roller Routine","June-18

AM (Overhead, Primary)
A. Jerk Warm-Up 2.0
B. For Time
-20 sHSPU
-2k BikeErg
-20 kHSPU
-2k BikeErg
-20 DB Bench Press 70/Hand
C. Lu Raises (2 x AMRAP) 15's - 2s lower
D. Echo Calories (3 x 30) rest 1:1
*strong but submaximal pace across
E. Banded Face Pulls (3 x 12-15) 3s return

PM
5min BikeErg; easy
5min Choice Squat Mobility
Trunk Stiffness Routine
LCA C&J Warm-Up
+
A. Squat Clean + Front Squat
*12min from empty bar to tough complex for the day
+
B. E4M x 6 Sets:
-4 Back Squat 73-75%
-6 Sandbag Squats 150lb
-8 BJO/SD 24""
+
C. 2 x 10:00 BFR Ski @ 60% LOP
*rest 5:00 b/t sets deflated
*zone 2 target HR
+
[Mandatory Mobility]
-2min Couch / Side
-2min Frog
-1min Passive Hang","June-19

(Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence","June-20

AM (Snatch, Overhead)
A. Snatch Warm-Up 3.0
*5min self-directed hip mobility after cyclical warm-up
B. EMOM 8:00:
1) 3 Tall Squat Snatch 45 --> 95lb
2) 1 Turkish Get-Up / arm 53lb
C. Snatch with 2 pauses (5 x 1) RPE 5-6
*pause 1 = 2s @ the knee
*pause 2 = 2s @ the catch / ohs
D. E75s x 9 Sets:
1) 1.1.1 pow-pow-sq
2) 1.1 pow-sq
3) 1 squat
*build each respective minute
*end at tough single for final squatting rep
E1. DB Pullover (3 x 10) 4s lower
E2. Blackburns (3 x 5)
E3. DB External Rotation (3 x 8/8) 10lb
F. Banded Face Pulls (3 x 15)

PM (Mixed Aerobic ft. Run)
5min BikeErg
5min Dynamic Run Prep
x5: 30s Run, 30s Walk
10-15min Choice HS Skills
*holds, pirouettes, backwards, etc.
+
For Time @ 85% Effort
-800m Ski
-8 LLRC 
-800m Ski
+
rest 8-10min
+
For Time @ 85% Effort
-800m Row
-50 Thrusters 95lb
-800m Run
+
10min Flush Bike
10min Self-Directed Mobility","June-21

40 Calorie Row @ Warm-Up Pace
ZOAR Run Warm-Up
40 Calorie Row @ Workout Pace
+
2 Rounds
-10 Alternating Lizards
-10 Scap Pull-Ups
-30s Couch Stretch / side
-15s Forward Fold
-5-8 Ring Rows
+
A. [10:00 Clock] Find Heavy Complex
-3 DL + 2 HPC + 1 Jerk
B. E3M x 4 Sets:
-4 Touch-N-Go Deadlift
-8 DB Bench Press
*start counting sets @ RPE 7 each
*build to tough set in both
+
Complete @ Wko Pace
-200m Run
-4 Line-Facing Burpee Broad Jump
-10 Calorie Row
-4 Burpee Pull-Ups
+
""The Burpees are Coming""
(Repeat of Workout 149)
For Time (30:00 Cap)
-800m Run
-40 Line-Facing Burpee Broad Jump 6/4ft
-40 Calorie Row
-800m Run
-30 Burpee Pull-Ups
-30 Calorie Row
-800m Run
-20 Line-Facing Burpee
-20 Calorie Row
+
5:00 Flush; Choice Cyclical
5:00 Choice Mobility","June-22

(Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence",Averages
0,,,,,,,0
0,,,,,,,0
,,,,,,,
,,,,,,,
"June-9

AM (Snatch + Mixed Midline)
3 Rounds
-8 Hip 90-90's
-8 Hip Extensions from Saddle
-8 Push-Up to Down-Dog
...
3 Rounds
-8 Squatting Sky Reach; kettlebell anchored
-5 Wall-Facing Squat Therapy; 4s lower
-8 Wtd PVC Passthrough 2.5-5lb
-5 Pressing Snatch Balance
+
A. Snatch (6 x 2) ~135lb
*rep 1 = pause 3s in catch
*rep 2 = regular / get out fast
*film last
B. Pause OHS (3-4 x 5) 165-185lb
C. 10 Sets: (rest 60s b/t)
-4 Snatch 135lb
-2 Wall Walk
-14 Heavy DU
D. 2 x 9:00 BFR Ski @ 60% LOP
*rest 4:00 b/t sets deflated
*zone 2 target HR
E. 10:00 Self-Directed Hip & Shoulder Mobility

PM (Run + Hanging Gymnastics)
5:00 Walk
*every 55s (+0:00): breath exhale hold until untolerable
5min Choice Dynamic Run Warm-Up
5min - Prep Gymnastics
+
15:00 Run @ Zone 3 (Note Pace)
30 BMU
10:00 Run @ Zone 3 PACE
*still don't treat this as a ""for time"" piece, but push the BMU set frequency (rush rests)
+
Wtd Shoulder Health Routine
Foam Roller Routine","June-10

AM (Mixed Aerobic ft. Rate)
Move Through @ Cruise Pace
5:00 Ski
5:00 Row
5:00 BikeErg
+
EMOM 4:00: 6-8 BFB 
*technique focused
*using technique you will for your test
+
100 Bar-Facing Burpee for Time (Test)
+
Move Through @ Cruise Pace
5:00 Ski
5:00 Row
5:00 BikeErg

PM (Hinging & Odd Object)
A. 3 Rounds
-12 Step-Up
-10 Banded Good AM
-6 Straight Leg Dead Bugs
-4 Strict Pull-Ups
+
B. Power Clean: Find Tough Single
*10min to go from empty bar to top set
+
C1. Elevated Cat PNF (3 x 15s)
C2. Dual DB OH Carry (3 x 15s) 50-60's
+
D. 4 Rounds for Time
-5 Power Clean 205lb
-2x25ft Dual KB OH WL 53's
...immediately into...
10-15min Echo @ Cruise Pace
+
D. Band Pull Apart (3 x 10) 3s return
E. Hip Flexor Mobility Checklist
F. Foam Roller Routine","June-11

AM (Overhead, Primary)
A. Jerk Warm-Up 2.0
B. 3 Sets: (rest 3:00 b/t)
-1k BikeErg
-10 sHSPU
-1k BikeErg
-20 kHSPU
C. DB Bench Press (2 x AMRAP-1) 70/Hand
D. Banded Face Pulls (3 x 12-15) 3s return
E. Lu Raises (2 x AMRAP) 15's - 2s lower

PM
5min BikeErg; easy
5min Choice Squat Mobility
Trunk Stiffness Routine
+
A. Back Squat: Build to 90%
*one to three reps in your top set
+
B. E4M x 5 Sets:
-5 Back Squat 70-73%
-15 Wall Ball 30lb
+
C. E3M x 4-6 Sets:
-15 Cal Echo @ Sprint
+
10:00 BikeErg; Nasal, Easy
+
[Mandatory Mobility]
-2min Couch / Side
-2min Frog
-1min Passive Hang","June-12

(Rest / Active Recovery)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence","June-13

(Deload)

A. Snatch Warm-Up 3.0
B. Power Snatch + Squat Snatch: 5 Complexes - Build to Moderate (RPE 6-7)
C. Power Clean + Squat Clean: 5 Complexes - Build to Moderate (RPE 6-7)
D. sHSPU + kHSPU (3 x 3+5) full rest b/t
E. For Time @ High Effort
-21 Calorie Row
-15 Burpee over Rower Rail
-9 BMU
F. 2 Sets: (rest 1:00 b/t)
-800m Run @ Cruise Pace
-1k BikeErg @ Recovery Pace
G. Shoulder Mobility Checklist","June-14

(Dewey Beach Championship) DE
MM Team","June-15

(Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence",Averages
0,,,,,,,0
0,,,,,,,0
,,,,,,,
,,,,,,,
"June-2

AM (Snatch + Mixed Midline)
3 Rounds
-8 Hip 90-90's
-8 Hip Extensions from Saddle
-8 Push-Up to Down-Dog
...
3 Rounds
-8 Squatting Sky Reach; kettlebell anchored
-5 Wall-Facing Squat Therapy; 4s lower
-8 Wtd PVC Passthrough 2.5-5lb
-5 Pressing Snatch Balance
+
A. EMOM 8:00: 1 Snatch
*pause 2s in catch / ohs
*start at 155lb and build to tough single
*film last
B. 3-4 Sets: (rest 2:00)
-15 Calorie Row @ Strong Pace
-5 OHS 165lb
*film last
C. For Time
-50 GHD
-50 DB Snatch 50
-30 GHD
-30 DB Snatch 70
D. 2 x 8:00 BFR Ski @ 60% LOP
*rest 4:00 b/t sets deflated
*zone 2 target HR
E. 10:00 Self-Directed Hip & Shoulder Mobility

PM (Run + Hanging Gymnastics)
5:00 Walk
*every 55s (+0:00): breath exhale hold until untolerable
5min Choice Dynamic Run Warm-Up
5min - Prep Gymnastics
+
10:00 Run @ Zone 3 (Note Pace)
20 BMU - in 5's
10:00 Run @ Zone 3 PACE (not HR)
20 BMU - in 4's
10:00 Run @ Zone 3 PACE
+
Wtd Shoulder Health Routine
Foam Roller Routine","June-3

AM (Mixed Aerobic ft. Rate)
Move Through @ Cruise Pace
5:00 Ski
5:00 BikeErg
5:00 Run
+
AMRAP 30:00 @ Cruise Pace
-200m Run
-8 BBJO 24""
-200m Ski
-10 Bar-Facing Burpee
-200m Run
-12 Burpee Pull-Up
+
Move Through @ Cruise Pace
5:00 Run
5:00 BikeErg
5:00 Ski

PM (Hinging & Odd Object)
A. 3 Rounds
-12 Step-Up
-10 Banded Good AM
-6 Straight Leg Dead Bugs
+
B. Deadlift: Build to RPE 8.5-9 for a single
+
C. AMRAP 8:00
-1...2...3... LLRC
-2...4...6... Sandbag Squat; on Shoulder 150lb
...immediately into...
10-15min Echo @ Cruise Pace
+
D. Weighted Shoulder Health Routine
E. Hip Flexor Mobility Checklist
F. Foam Roller Routine","June-4

AM (Overhead, Primary)
A. Jerk Warm-Up 2.0
B. 3 Sets: (rest 3:00 b/t)
-1k BikeErg
-10 sHSPU
-1k BikeErg
-8 sHSPU
-1k BikeErg
-6 sHSPU
*repeat with 3"" deficit (kipping)
*repeat at flat (kipping)
C. DB Bench Press (2 x AMRAP-1) 70/Hand
D. Banded Face Pulls (3 x 12-15) 3s return
E. Lu Raises (2 x AMRAP) 15's - 2s lower

PM
5min BikeErg; easy
5min Choice Squat Mobility
Trunk Stiffness Routine
+
A. Front Squat: Build to 90%
*one to three reps in your top set
+
B. E4M x 5 Sets:
-4 Front Squat 70-73%
-25ft DB Farmers Lunge 50/H
-8 DB Thrusters 50/H
+
C. E10M x 3 Sets:
*set 1:
-30 Cal Echo
-30 Snatch 115lb
*set 2:
-30 Cal Echo
-30 BJO 30""
*set 3:
-30 Cal Echo
-30 DB Snatch 70lb""
+
10:00 BikeErg; Nasal, Easy
+
[Mandatory Mobility]
-2min Couch / Side
-2min Frog
-1min Passive Hang","June-5

(Rest / Active Recovery)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence","June-6

AM (Snatch, Overhead)
A. Snatch Warm-Up 3.0
*5min self-directed hip mobility after cyclical warm-up
B. EMOM 5:00: 3 Tall Snatch 45-65-65-75-75
C. Snatch with 2 pauses (5 x 1) RPE 5
*pause 1 = 2s @ the knee
*pause 2 = 2s @ the catch / ohs
D. Snatch + OHS (1+2) 4-5 Sets
*start at 70% of SN and build to RPE 8.5-9
E. WF HSPU (6-7 x 1-3) Build to tough triple deficit
*start with hands at head level
F. Accumulate 25 kHSPU at ending deficit for ""D""
G. 40 DB Bench for Time @ 60/Hand
H. Banded Face Pulls (3 x 15)

PM (Mixed Aerobic ft. Run)
5min BikeErg
5min Dynamic Run Prep
x5: 30s Run, 30s Walk
Prep Non-Running Mvmts
+
For Time
-1 Mile Run @ Zone 4
-6 Deadlift 315lb
-3x25ft HSW
-6 Deadlift 315lb
-1 Mile Run @ Same Pace
-6 Deadlift 315lb
-3x25ft HSW
-6 Deadlift 315lb
-1 Mile Run @ Same Pace
+
10min Flush Bike
10min Self-Directed Mobility","June-7

5:00 AirBike; Cruise, Nasal
*Every 50s (+0:00): Exhale Breath Hold, Until Uncomfortable
+
A1. Box Step-Up (3 x 10) alt to 24/20""
A2. PNF Elevated Cat (3 x 15-20s)
A3. Dead Hang (3 x 15-20s)
B1. Toe-Drag Step-Up (3 x 3/3) 24/20""
B2. Push-Up to Down-Dog (3 x 6-8)
B3. Scap Pull-Ups (3 x 8-12)
C1. Gobet Step-Up (3 x 6 alt) light-mod
C2. Tabletop Glute Bridge (3 x 8-10)
C3. Kip Swings (3 x 6-8)
C4. Strict Pull-Ups (3 x 2-3)
D. Build to Wko Variation / Wt:
(i) KB Goblet Step-Up
(ii) KB Hang Snatch
(iii) DB Bench Press
(iv) Chest-to-Bar
E. Rehearsal
-8 KB Hang Snatch; as 4/4
-2-3 CTB
-3-5 DB BP
-2-3 CTB
-3-5 DB BP
-8 KB Goblet Step-Up
+
""Cow Tales""
For Time (20:00 Cap)
-50 KB Hang Snatch 70/53lb
-15 Chest-to-Bar
-30 DB Bench Press 50/35's
-15 Chest-to-Bar
-30 DB Bench Press 50/35's
-15 Chest-to-Bar
-50 KB Goblet Step-Up 70/53lb, 24/20""
+
Move Through @ Zone 3 Avg / Moderate Pace
-15:00 Row
-15:00 AirBike
-15:00 Run
+
5:00 AirBike @ Flush Pace
5:00 Choice Mobility","June-8

(Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence",Averages
7,,,,,,,7
6,8,,,,,,7
155-165-175-185-195-205-215 (F) X 3 / 1:02-1:00-:58 / 6:35,"Read this as 250M ski, as we'd done prior -- 6:17-6:29-6:52-6:52-3:36 (4 + 5 BFB) 265-295-325/355/385/415-445-475-505(F) / 34 reps (4+4)",,,,,,
,,,,,,,
"May-26

AM (Snatch + Mixed Midline)
3 Rounds
-8 Hip 90-90's
-8 Hip Extensions from Saddle
-8 Push-Up to Down-Dog
...
3 Rounds
-8 Squatting Sky Reach; kettlebell anchored
-5 Wall-Facing Squat Therapy; 4s lower
-8 Wtd PVC Passthrough 2.5-5lb
-5 Pressing Snatch Balance
+
A. Overhead Squat: Build to Heavy Single
*RPE 8.5-9, no misses
B. 3-4 Sets: (rest 2:00)
-15 Calorie Row @ 1300-1500
-3 Snatch 180-190lb
*singles, ""own"" your positions
C. 3 Rounds @ 85% Effort
-500m Ski
-15 Snatch 75lb
*squat @ strong cadence
*recover on first portion of row
*even splits
D. 2 x 7:00 BFR Ski @ 60% LOP
*rest 4:00 b/t sets deflated
*zone 2 target HR
E. 10:00 Self-Directed Hip & Shoulder Mobility

PM (Run + Hanging Gymnastics)
5:00 Walk
*every 55s (+0:00): breath exhale hold until untolerable
5min Choice Dynamic Run Warm-Up
5min - Prep Gymnastics
+
10:00 Echo @ Smooth Pace, nasal
75 TTB - in 5's
10:00 Echo @ Smooth Pace, nasal
24 BMU - in 3's
10:00 Echo @ Smooth Pace, nasal
+
Wtd Shoulder Health Routine
Foam Roller Routine","May-27

AM (Mixed Aerobic ft. Rate)
Move Through @ Cruise Pace
5:00 Ski
5:00 BikeErg
5:00 Run
+
AMRAP 12:00 @ Cruise Pace
-200m Run
-8 BBJO 24""
...rest 3:00...
AMRAP 12:00 @ Cruise Pace
-200m Ski
-10 Burpee over Parallette
...rest 3:00...
AMRAP 12:00 @ Cruise Pace
-200m Run
-12 Line-Facing Burpee 
*match paces / effort from last week
*looking for moderate effort base building work
+
Move Through @ Cruise Pace
5:00 Run
5:00 BikeErg
5:00 Ski

PM (Hinging & Odd Object)
A. 3 Rounds
-12 Step-Up
-10 Banded Good AM
-6 Straight Leg Dead Bugs
+
B. Deadlift: Build to RPE 8.5-9 for a double
+
C. AMRAP 8:00 @ Cruise Pace
-1...2...3... Rope Climb
-2...4...6... Sandbag Cleans 150lb
*space out equipment
*focus on quality movement
...
rest 4min
...
Repeat your score, but For Time
+
D. Weighted Shoulder Health Routine
E. Hip Flexor Mobility Checklist
F. Foam Roller Routine","May-28

AM (Overhead, Primary)
A. Jerk Warm-Up 2.0
B. EMOM 18-21:00
1) 4 Clean & Jerk 75%*
2) AMRAP-1 sHSPU
3) Recovery BikeErg
*work on getting into a neutral spine start position even while barbell cycling
C. Seated Dual DB sPress (3-4 x AMRAP-1) 50/Hand
D. Banded Face Pulls (3 x 12-15) 3s return
E. Lu Raises (3 x 12-15) 2s lower

PM
5min BikeErg; easy
5min Choice Squat Mobility
Trunk Stiffness Routine
+
A. Back Squat: Build to 90%
*one to three reps in your top set
+
B. E4M x 5 Sets:
-4 Back Squat 70-73%
-6 Sandbag Squats 150lb
-25ft DB Farmers Lunge 50/H
+
C. 4 Sets: (rest 4:00 b/t)
*sets 1&2: 
-20 Row Cals
-12 DB Thruster 50's
-15 Row Cals
-9 DB Thruster 50's
*sets 3&4:
-15 AirBike Cals
-12 Dual DB Snatch 50's
-12 AirBike Cals
-9 Dual DB Clean & Jerk 50's
+
20:00 BikeErg; Nasal, Easy
+
[Mandatory Mobility]
-2min Couch / Side
-2min Frog
-1min Passive Hang","May-29

(Rest / Active Recovery)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence","May-30

AM (Snatch, Overhead)
A. Snatch Warm-Up 3.0
*5min self-directed hip mobility after cyclical warm-up
B. EMOM 5:00: 3 Tall Snatch 45-65-65-75-75
C. Snatch with 2 pauses (5 x 1) RPE 5
*pause 1 = 2s @ the knee
*pause 2 = 2s @ the catch / ohs
D. Snatch + OHS (1+3) 4-5 Sets
*start at 70% of SN and build to RPE 8.5
E. sHSPU (6-7 x 1-3) Build to tough triple deficit
*start with hands at head level
F. Accumulate 15 kHSPU at ending deficit for ""D""
G. 30 DB Bench for Time @ 70/Hand
H. Banded Face Pulls (3 x 15)

PM (Mixed Aerobic ft. Run)
5min BikeErg
5min Dynamic Run Prep
x5: 30s Run, 30s Walk
Prep Non-Running Mvmts
+
For Time
-1 Mile Run
-25ft HSW (4 lengths)
-100 Heavy DU
-25 Deadlift 225
-1 Mile Run
+
10min Flush Bike
10min Self-Directed Mobility","May-31

5:00 Choice Erg @ Relaxed Pace
400m Run @ Relaxed Pace
ZOAR Run Warm-Up
+
2-3 Rounds
-6 Alternating Scorpions
-6 Seal Push-Ups
-6 L-Sit Raises
-6 Scap Pull-Ups
-6 Step-Ups 30/24""
+
EMOM 9:00
*min 1-3: 3 Pressing Snatch Balance
*min 4-6: 3 Hip Squat Snatch + 3s Pausing OHS
*min 7-9: Snatch Lift-Off + Halting Snatch + Snatch
(use light load(s) throughout)
+
Overhead Squat (5 x 5)
*go every 3:00
*no rack - snatch rep 1
*start moderate, end heavy
+
Snatch High Pull (5 x 3)
*go every 2:00
*use ~100% of your 1RM Snatch
+
Prep ""Ted Lasso"" Mvmts, Then perform 1 Round of the Triplet @ Wko Pace
(time it & use it to inform your strategy / pacing)
+
Complete @ Wko Pace
-400m Run
-2 Rounds of 4-3-2, respectively
+
""Ted Lasso""
For Time
800m Run
...
8 Rounds for Time
-9 Medball GHDs 20/14lb
-6 Box Jumps 30/24""
-3 Burpee Bar Muscle-Up
...
800m Run
*8 rounds portion is capped at 16:00
*final run (starting immediately at 16:00) is the tiebreak time
+
4 Sets: (rest ~2:00)
-21/15 Calorie AirBike; strong
-X Rope Climb Variation
*Lvl 1: 2/2 Staggered Grip Pull-Up on Cimbing Rope
*Lvl 2: 1 LLRC 10-15ft
*Lvl 3: 1 LLRC; from seated 12-15ft
*Lvl 4: 1 LLRC; seated-to-seated 15ft
+
5:00 Flush; Choice Cyclical
5:00 Choice Mobility","June-1

(Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence",Averages
0,,,,,,,0
0,,,,,,,0
,,,,,,,
,,,,,,,
"May-19

AM (Snatch + Mixed Midline)
3 Rounds
-8 Hip 90-90's
-8 Hip Extensions from Saddle
-8 Push-Up to Down-Dog
...
3 Rounds
-8 Squatting Sky Reach; kettlebell anchored
-5 Wall-Facing Squat Therapy; 4s lower
-8 Wtd PVC Passthrough 2.5-5lb
-5 Pressing Snatch Balance
+
A. Overhead Squat: Build to Heavy Double
*RPE 8.5-9, no misses
B. 3-4 Sets: (rest 2:00)
-15 Calorie Row @ 1300-1500
-5 Snatch 175-185lb
*singles, ""own"" your positions
C. 3 Rounds @ 85% Effort
-500m Row
-15 Overhead Squat 95lb
*squat @ strong cadence
*recover on first portion of row
*even splits
D. 2 x 7:00 BFR Ski @ 60% LOP
*rest 4:00 b/t sets deflated
*zone 2 target HR
E. 10:00 Self-Directed Hip & Shoulder Mobility

PM (Run + Hanging Gymnastics)
5:00 Walk
*every 55s (+0:00): breath exhale hold until untolerable
5min Choice Dynamic Run Warm-Up
5min - Prep Gymnastics
+
4 Sets: (rest 1:1)
-0.5mi AirBike @ 70-72 RPMs
-1 Tough Repeatable Set of BMU
...rest 3-5:00...
4 Rounds @ Strong Pace
-800m Run
-20 TTB
...rest 3-5:00...
1600m Run @ Smooth Pace / Zone 2-3
+
Hip Flexor Mobility Checklist","May-20

AM (Mixed Aerobic ft. Rate)
Move Through @ Cruise Pace
5:00 Ski
5:00 BikeErg
5:00 Row
+
AMRAP 12:00 @ Cruise Pace
-500m BikeErg
-8 BBJO 24""
...rest 3:00...
AMRAP 12:00 @ Cruise Pace
-250m RowErg
-10 Burpee over Parallette
...rest 3:00...
AMRAP 12:00 @ Cruise Pace
-250m SkiErg
-12 Line-Facing Burpee 
*match paces / effort from last week
*looking for moderate effort base building work
+
Move Through @ Cruise Pace
5:00 Row
5:00 BikeErg
5:00 Ski

PM (Hinging & Odd Object)
A. 3 Rounds
-12 Step-Up
-10 Banded Good AM
-6 Straight Leg Dead Bugs
+
B. Deadlift (6 x 3) 365lb
*odd sets: TnG
*even sets: Hand-Release
+
C. 2-2-2-3 Intervals (rest 60s b/t)
-30 Heavy / Drag DU
-3 Rope Climbs
-Max Sandbag Squat 150lb
*advance bag 5ft every 5 reps
*hold bag anyhow
+
D. Weighted Shoulder Health Routine
E. Hip Flexor Mobility Checklist
F. Foam Roller Routine","May-21

AM (Overhead, Primary)
A. Jerk Warm-Up 2.0
B. EMOM 18-21:00
1) 3 Push Jerk; from the floor - 75-80%
2) AMRAP-1 sHSPU
3) Recovery BikeErg
C. Dual DB sPress (3-4 x AMRAP-1) 50-60/Hand
D. Banded Face Pulls (3 x 12-15) 3s return
E. Lu Raises (3 x 12-15) 2s lower

PM
5min BikeErg; easy
5min Choice Squat Mobility
Trunk Stiffness Routine
+
A. E4M x 4 Sets:
-4 Back Squat 69-72%
-12 Wall Ball 30lb, 10ft
+
B. 4 Sets: (rest 4:00 b/t)
*sets 1&3: 
-20 Row Cals
-15 DB Thruster 35's
-15 Row Cals
-12 DB Thruster 35's
*sets 2&4
-15 AirBike Cals
-12 Dual DB Snatch 50's
-12 AirBike Cals
-9 Dual DB Clean & Jerk 50's
+
20:00 BikeErg; Nasal, Easy
+
[Mandatory Mobility]
-2min Couch / Side
-2min Frog
-1min Passive Hang

","May-22

(Rest / Active Recovery)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence","May-23

AM (Snatch, Overhead)
A. Snatch Warm-Up 3.0
*5min self-directed hip mobility after cyclical warm-up
B. Snatch with 2 pauses (5 x 1) RPE 5
*pause 1 = 2s @ the knee
*pause 2 = 2s @ the catch / ohs
C. Snatch + OHS (1+4) 4-5 Sets
*start at 70% of SN and build to RPE 8.5
D. sHSPU (5-6 x 3) Build to tough triple deficit
*start with hands at head level
E. Accumulate 15 kHSPU at ending deficit for ""D""
F. 40 DB Bench for Time @ 60/Hand
G. Banded Face Pulls (3 x 15)

PM (Rest / Travel)","May-24

(Travel / Drop-In)

""Murph""","May-25

(Travel / Rest)

At Any Point:
(i) 3 Rounds
-10 90-90 Hip Rotations
-10 Tabletop Glute Bridge
-10 Up-Dog to Down-Dog; 3s ea
(ii) Accumulate, as you see fit:
-3:00 Frog Stretch
-2:00 Couch Stretch / leg
-2:00 Elevated Cat Pose
(iii) 7:00 Supine Breathing @ 4080 Cadence",Averages
0,,,,,,,0
0,,,,,,,0
,,,,,,,
,,,,,,,
